carrier,carrier_name
9E,Endeavor Air Inc.
AA,American Airlines Inc.
AS,Alaska Airlines Inc.
B6,JetBlue Airways
C5,CommuteAir LLC dba CommuteAir
DL,Delta Airlines Inc.
F9,Frontier Airlines Inc.
G4,Allegiant Air
G7,GoJet Airlines LLC d/b/a United Express
HA,Hawaiian Airlines Inc.
MQ,Envoy Air
NK,Spirit Airlines
OH,PSA Airlines Inc.
OO,SkyWest Airlines Inc.
PT,Piedmont Airlines
QX,Horizon Air
UA,United Airlines Inc.
WN,Southwest Airlines Co.
YV,Mesa Airlines Inc.
YX,Republic Airline
ZW,Air Wisconsin Airlines Corp
CO,Continental Airlines Inc.
TZ,ATA Airlines
FL,AirTran Airways
AQ,Aloha Airlines Inc.
HP,America West Airlines Inc.
XE,ExpressJet Airlines Inc.
NW,Northwest Airlines Inc.
US,US Airways Inc.
VX,Virgin America
